FILER_TRACK_ID	FILE	FILER_PATH	FILER_GENOME_BUILD	FILER_FILE_FORMAT	ORIGINAL ROADMAP CELL TYPE/TISSUE	NAME	CHARACTERISTIC|cultured cell	CHARACTERISTIC|Cell line name	CHARACTERISTIC|cell	CHARACTERISTIC|tissue	CHARACTERISTIC|developmental stage	CHARACTERISTIC|sequence_feature	CHARACTERISTIC|assay	CHARACTERISTIC|antibody target	CHARACTERISTIC|FILER_TISSUE_CATEGORY	CHARACTERISTIC|FILER_BIOSAMPLE_TYPE
NGRM005360	E084_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Intestine Large	ChromHMM 15-state model for Fetal Intestine Large				large intestine	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005361	E085_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Intestine Small	ChromHMM 15-state model for Fetal Intestine Small				small intestine	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005362	E086_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Kidney	ChromHMM 15-state model for Fetal Kidney				kidney	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Urinary	primary tissue
NGRM005363	E087_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Pancreatic Islets	ChromHMM 15-state model for Pancreatic Islets				endocrine pancreas		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005364	E088_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Lung	ChromHMM 15-state model for Fetal Lung				lung	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Lung	primary tissue
NGRM005365	E089_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Muscle Trunk	ChromHMM 15-state model for Fetal Muscle Trunk				value:muscle of trunk	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Skeletal Muscle	primary tissue
NGRM005366	E090_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Muscle Leg	ChromHMM 15-state model for Fetal Muscle Leg				muscle of leg	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Skeletal Muscle	primary tissue
NGRM005367	E091_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Placenta	ChromHMM 15-state model for Placenta				placenta		enhancer	 ChIP-seq assay	value:consolidated	Placenta	primary tissue
NGRM005368	E092_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Stomach	ChromHMM 15-state model for Fetal Stomach				stomach	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005369	E093_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Thymus	ChromHMM 15-state model for Fetal Thymus				thymus	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Immune Organ	primary tissue
NGRM005370	E094_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Gastric	ChromHMM 15-state model for Gastric				stomach		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005371	E095_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Left Ventricle	ChromHMM 15-state model for Left Ventricle				heart left ventricle		enhancer	 ChIP-seq assay	value:consolidated	Heart	primary tissue
NGRM005372	E096_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Lung	ChromHMM 15-state model for Lung				lung		enhancer	 ChIP-seq assay	value:consolidated	Lung	primary tissue
NGRM005373	E097_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Ovary	ChromHMM 15-state model for Ovary				value:ovary		enhancer	 ChIP-seq assay	value:consolidated	Female Reproductive	primary tissue
NGRM005374	E098_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Pancreas	ChromHMM 15-state model for Pancreas				pancreas		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005375	E099_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Placenta Amnion	ChromHMM 15-state model for Placenta Amnion				amnion		enhancer	 ChIP-seq assay	value:consolidated	Placenta	primary tissue
NGRM005376	E100_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Psoas Muscle	ChromHMM 15-state model for Psoas Muscle				psoas muscle		enhancer	 ChIP-seq assay	value:consolidated	Skeletal Muscle	primary tissue
NGRM005377	E101_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Rectal Mucosa Donor 29	ChromHMM 15-state model for Rectal Mucosa Donor 29				mucosa of rectum		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005378	E102_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Rectal Mucosa Donor 31	ChromHMM 15-state model for Rectal Mucosa Donor 31				mucosa of rectum		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005379	E103_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Rectal Smooth Muscle	ChromHMM 15-state model for Rectal Smooth Muscle				value:rectal smooth muscle tissue		enhancer	 ChIP-seq assay	value:consolidated	Smooth Muscle	primary tissue
NGRM005380	E104_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Right Atrium	ChromHMM 15-state model for Right Atrium				value:right cardiac atrium		enhancer	 ChIP-seq assay	value:consolidated	Heart	primary tissue
NGRM005381	E105_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Right Ventricle	ChromHMM 15-state model for Right Ventricle				heart right ventricle		enhancer	 ChIP-seq assay	value:consolidated	Heart	primary tissue
NGRM005382	E106_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Sigmoid Colon	ChromHMM 15-state model for Sigmoid Colon				sigmoid colon		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005383	E107_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Skeletal Muscle Male	ChromHMM 15-state model for Skeletal Muscle Male				skeletal muscle tissue		enhancer	 ChIP-seq assay	value:consolidated	Skeletal Muscle	primary tissue
NGRM005384	E108_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Skeletal Muscle Female	ChromHMM 15-state model for Skeletal Muscle Female				skeletal muscle tissue		enhancer	 ChIP-seq assay	value:consolidated	Skeletal Muscle	primary tissue
NGRM005385	E109_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Small Intestine	ChromHMM 15-state model for Small Intestine				small intestine		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005386	E110_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Stomach Mucosa	ChromHMM 15-state model for Stomach Mucosa				mucosa of stomach		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005387	E111_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Stomach Smooth Muscle	ChromHMM 15-state model for Stomach Smooth Muscle				stomach smooth muscle		enhancer	 ChIP-seq assay	value:consolidated	Smooth Muscle	primary tissue
NGRM005388	E112_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Thymus	ChromHMM 15-state model for Thymus				thymus		enhancer	 ChIP-seq assay	value:consolidated	Immune Organ	primary tissue
NGRM005389	E113_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Spleen	ChromHMM 15-state model for Spleen				spleen		enhancer	 ChIP-seq assay	value:consolidated	Immune Organ	primary tissue
NGRM005390	E114_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	A549 EtOH 0.02pct Lung Carcinoma Cell Line	ChromHMM 15-state model for A549 EtOH 0.02pct Lung Carcinoma Cell Line	lung cancer cell line	A549				enhancer	 ChIP-seq assay	value:consolidated	Lung	cell line
NGRM005391	E115_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Dnd41 TCell Leukemia Cell Line	ChromHMM 15-state model for Dnd41 TCell Leukemia Cell Line	lymphoma or leukaemia cell line	DND-41	value:T-cell			enhancer	 ChIP-seq assay	value:consolidated	Blood	cell line
NGRM005392	E116_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	GM12878 Lymphoblastoid Cells	ChromHMM 15-state model for GM12878 Lymphoblastoid Cells	lymphoblastoid cell line	GM12878				enhancer	 ChIP-seq assay	value:consolidated	Blood	primary culture
NGRM005393	E117_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	HeLa-S3 Cervical Carcinoma Cell Line	ChromHMM 15-state model for HeLa-S3 Cervical Carcinoma Cell Line	cervical cancer cell line	HeLa-S3				enhancer	 ChIP-seq assay	value:consolidated	Female Reproductive	cell line
NGRM005394	E118_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	HepG2 Hepatocellular Carcinoma Cell Line	ChromHMM 15-state model for HepG2 Hepatocellular Carcinoma Cell Line	hepatoma cell line	HepG2				enhancer	 ChIP-seq assay	value:consolidated	Liver	cell line
NGRM005395	E119_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	HMEC Mammary Epithelial Primary Cells	ChromHMM 15-state model for HMEC Mammary Epithelial Primary Cells	mammary gland cell line	HMEC	epithelial cell	breast		enhancer	 ChIP-seq assay	value:consolidated	Epithelial	primary culture
NGRM005396	E120_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	HSMM Skeletal Muscle Myoblasts Cells	ChromHMM 15-state model for HSMM Skeletal Muscle Myoblasts Cells	myoblast cell line	value:HSMM	skeletal muscle myoblast			enhancer	 ChIP-seq assay	value:consolidated	Skeletal Muscle	primary culture
NGRM005397	E121_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	HSMM cell derived Skeletal Muscle Myotubes Cells	ChromHMM 15-state model for HSMM cell derived Skeletal Muscle Myotubes Cells	myoblast cell line	value:HSMM	myotube			enhancer	 ChIP-seq assay	value:consolidated	Skeletal Muscle	primary culture
NGRM005398	E122_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	HUVEC Umbilical Vein Endothelial Primary Cells	ChromHMM 15-state model for HUVEC Umbilical Vein Endothelial Primary Cells	endothelial cell derived cell line	value:HUVEC	endothelial cell	umbilical vein	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Epithelial	primary culture
NGRM005399	E123_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	K562 Leukemia Cells	ChromHMM 15-state model for K562 Leukemia Cells	lymphoma or leukaemia cell line	K562				enhancer	 ChIP-seq assay	value:consolidated	Blood	primary culture
NGRM005400	E124_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Monocytes-CD14+ RO01746 Primary Cells	ChromHMM 15-state model for Monocytes-CD14+ RO01746 Primary Cells		CD14-positive monocyte				enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005401	E125_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	NH-A Astrocytes Primary Cells	ChromHMM 15-state model for NH-A Astrocytes Primary Cells	Normal Human Astrocytes	NH-A (Lonza CC-2565)	astrocyte			enhancer	 ChIP-seq assay	value:consolidated	Brain	primary culture
NGRM005402	E126_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	NHDF-Ad Adult Dermal Fibroblast Primary Cells	ChromHMM 15-state model for NHDF-Ad Adult Dermal Fibroblast Primary Cells	value:Normal Human Adult Dermal Fibroblasts	value:NHDF-Ad (Lonza CC-2511)	fibroblast of dermis			enhancer	 ChIP-seq assay	value:consolidated	Connective Tissue	primary culture
NGRM005403	E127_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	NHEK-Epidermal Keratinocyte Primary Cells	ChromHMM 15-state model for NHEK-Epidermal Keratinocyte Primary Cells	value:Normal Human Epidermal Keratinocyte Primary Cells	value:NHEK	keratinocyte			enhancer	 ChIP-seq assay	value:consolidated	Epithelial	primary culture
NGRM005404	E128_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	NHLF Lung Fibroblast Primary Cells	ChromHMM 15-state model for NHLF Lung Fibroblast Primary Cells	value:Lung Fibroblast Primary Cells	value:NHLF (Lonza CC-2512)	lung fibroblast	lung		enhancer	 ChIP-seq assay	value:consolidated	Connective Tissue	primary culture
NGRM005405	E129_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Osteoblast Primary Cells	ChromHMM 15-state model for Osteoblast Primary Cells		osteoblast				enhancer	 ChIP-seq assay	value:consolidated	Connective Tissue	primary culture
